product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,review_title,img_link
B01C8P29T4,"Bajaj Majesty DX-11 1000W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, White and Blue","Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",₹599,₹785,24%,4.2,"24,247","Good product at this price,An excellent product experience. Does job well at this price range..,Ok,overall good at this price,The Steel around the handle gets hot too!,Light weight product,Nice,A good iron for the reasonable price, tepreture control..",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41jBJfPQFwL._SY300_SX300_QL70_FMwebp_.jpg
B00HVXS7WC,"Bajaj Rex 500W Mixer Grinder with Nutri-Pro Feature, 3 Jars, White",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders,"₹1,999","₹3,210",38%,4.2,"41,349","Just go for it.👍🏻,3 PIN Plug should be there,Mixer is good as well as jar is good.But packing is very bad.,Too much noise,Good quality product......,Good,Nc,Useful",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31rucE-db2L._SX300_SY300_QL70_FMwebp_.jpg
B096YCN3SD,"Lifelong LLEK15 Electric Kettle 1.5L with Stainless Steel Body, Easy and Fast Boiling of Water for Instant Noodles, Soup, Tea etc. (1 Year Warranty, Silver)",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|Kettle&ToasterSets,₹549,"₹1,000",45%,3.6,"1,074","Well over all iits nice, make sure the lid of kettle has stell casing,cord should been long,Product is ok.,Product,Easy to use,Good,Good Product.,Product body looks week . Hope it stays long .,Good looking but not very strong. What else can you get for 499",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41h9kA2Tt7S._SX300_SY300_QL70_FMwebp_.jpg
B09LQH3SD9,"Lifelong LLQH922 Regalia 800 W (ISI Certified) Quartz Room Heater with 2 Power settings, Overheating Protection, 2 Rod Heater (1 Year Warranty, White)","Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",₹999,"₹2,000",50%,3.8,"1,163","Impressive in first use,SUPERB IN ALL DEPARTMENT. BEST IN THIS PRICE RANGE,Nice product,Worth the price,It is value for money but I don't think it will last very long...,The dizion is good and comportable.,Good product,Durability may be an issue",https://m.media-amazon.com/images/I/51DxyRgcEdL._SX300_SY300_QL70_FMwebp_.jpg
B09KNMLH4Y,"R B Nova Lint/Fabric Shaver for Cloths, Lint Remover for Woolen Sweaters, Blankets, Jackets/Burr Remover Pill Remover from Carpets, Pack of 1","Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|LintShavers",₹398,"₹1,999",80%,4.1,257,"The Best Purchase,Very useful product,Good products,Very handy to remove lint,Good product,Good product,Good,It's worth it.",https://m.media-amazon.com/images/I/51oPN7WqUwL._SY300_SX300_QL70_FMwebp_.jpg
B00ABMASXG,"Bajaj Immersion Rod Water Heater 1500 Watts, Silver","Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods",₹539,₹720,25%,4.1,"36,017","Warranty,Plug is not supporting,Good product,Great,Product is good,You can go for it but...... Read review,Fabulous,Good",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31Q16tE2voL._SX300_SY300_QL70_FMwebp_.jpg
B07QDSN9V6,INALSA Electric Kettle 1.5 Litre with Stainless Steel Body - Absa|Auto Shut Off & Boil Dry Protection Safety Features| Cordless Base & Cord Winder|Hot Water Kettle |Water Heater Jug,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|ElectricKettles,₹699,"₹1,595",56%,4.1,"8,090","Easy water boiling,Its fine... to use and easy to implement.,It's a good product.,improvement required,Good utility,Must Buy Product,Good product,It's just wow product, i used for a day and then i order for one more for my child hostel. L",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/317ws2QblnL._SX300_SY300_QL70_FMwebp_.jpg
B00YMJ0OI8,Prestige PIC 20 1600 Watt Induction Cooktop with Push button (Black),Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|InductionCooktop,"₹2,148","₹3,645",41%,4.1,"31,388","Good product in this range,Value for money,Nice,Nice one,Superb easy to use,Everything is great only issue is durability,Fabulous,The Cable is small",https://m.media-amazon.com/images/I/41Y8kHM144L._SY300_SX300_QL70_FMwebp_.jpg
B0B8XNPQPN,"Pigeon Healthifry Digital Air Fryer, 360° High Speed Air Circulation Technology 1200 W with Non-Stick 4.2 L Basket - Green",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DeepFatFryers|AirFryers,"₹3,599","₹7,950",55%,4.2,136,"New user,Worthy at this price,Good at dis price when comparing with other brands it is having two years of warranty,But there is no proper owners manuel ..which  brief the end there operation and cooking Time.,Ignore negative reviews,Best product with a reasonable price,The best quality air fryer you can get for this price,Think before you buy",https://m.media-amazon.com/images/I/31Jad8ITgaL._SX300_SY300_QL70_FMwebp_.jpg
B0814P4L98,"PrettyKrafts Laundry Basket for clothes with Lid & Handles, Toys Organiser, 75 Ltr Black & Grey",Home&Kitchen|HomeStorage&Organization|LaundryOrganization|LaundryBaskets,₹351,₹999,65%,4,"5,380","Good buy,Item is good and recommendable,Worth the money,Satisfied,Good quality storage bag,Very useful,Good product,Not as shown in the picture. Different products received.",https://m.media-amazon.com/images/I/41oxCycQ4BL._SX300_SY300_QL70_FMwebp_.jpg
B008QTK47Q,Philips GC1905 1440-Watt Steam Iron with Spray (Blue),"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|SteamIrons","₹1,614","₹1,745",8%,4.3,"37,974","How to choose an iron ? This one-A decent combo of features & price.Cable quality not good though.,Quality Iron for power users with effective spray & steam function | Review | Guide | Tips,Doesn’t remove hard wrinkles.,Easyto use but it leaks water,Very easy to use,Good product,Quick warm up,Not good",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41Xp77o+-YL._SX300_SY300_.jpg
B088ZTJT2R,Havells Immersion HB15 1500 Watt (White Blue),"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods",₹719,"₹1,295",44%,4.2,"17,218","Needs accessories,Gets water hot in under 10 mins,Slightly disappointed,Useful,Value for your money,Havells water heater is an excellent product.,v.nice,This product is very good and easy to use",https://m.media-amazon.com/images/I/31flPimoFpL._SX300_SY300_QL70_FMwebp_.jpg
B0BK1K598K,"AGARO LR2007 Lint Remover, Rechargeable, for Woolen Sweaters, Blankets, Jackets, Burr Remover, Pill Remover From Carpets, Curtains","Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|LintShavers",₹678,"₹1,499",55%,4.2,900,"Good product, removes lint efficiently.,Good product. Does job well.,A recommended product,Easy to use,Good product,The Product Is Very Useful Thanks To Agaro,Good lint remover,Nice product",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/4171TGwCHvL._SX300_SY300_QL70_FMwebp_.jpg
B09Y5FZK9N,"Pigeon 1.5 litre Hot Kettle and Stainless Steel Water Bottle Combo used for boiling Water, Making Tea and Coffee, Instant Noodles, Soup, 1500 Watt with Auto Shut- off Feature - (Silver)",Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Kettles&HotWaterDispensers|Kettle&ToasterSets,₹809,"₹1,545",48%,3.7,976,"Kettle is good but bottle is not good quality,Good,Ok,Bottle is not sturdy; kettle id light but heats fast,Value for money,Steel Quality is not as per expectation,Satisfactory experience,Good",https://m.media-amazon.com/images/I/41HqmhflMWL._SX300_SY300_QL70_FMwebp_.jpg
B09J2SCVQT,NutriPro Juicer Mixer Grinder - Smoothie Maker - 500 Watts (3 Jars 2 Blades),Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|JuicerMixerGrinders,"₹1,969","₹5,000",61%,4.1,"4,927","Used almost for a month,User friendly product  worth the money.  The product working fast.,Very happy with cookwell services,Worth,Very good product...,Good product,Good Customer Service,Good one easy to use",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41TUgf0W8uL._SX300_SY300_QL70_FMwebp_.jpg
B00TDD0YM4,"Philips GC026/30 Fabric Shaver, Lint Remover for Woolen Sweaters, Blankets, Jackets/Burr Remover Pill Remover from Carpets, Curtains (White)","Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|LintShavers","₹1,490","₹1,695",12%,4.4,"3,543","Good Portable product,Product is good but within 3/4 uses battery is dead now have to change its battery(cell),Finally I got my item and it works fine.,Overall Very good products and value for money , go for it,Wonderful product,Nice,It was just osm,It's best",https://m.media-amazon.com/images/I/41E0TjbPBAL._SX300_SY300_QL70_FMwebp_.jpg
B078KRFWQB,"Havells Cista Room Heater, White, 2000 Watts","Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters","₹2,499","₹3,945",37%,3.8,"2,732","Products review,Good & easy to use.,Good and portable,Motor Like unusal Noise,Better product with value for money.,Nice product from havells,Very easy to yse and portable those looking for small room this s best to buy,it's good choice",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/410H+3lohIL._SX300_SY300_.jpg
B07SRM58TP,"AGARO Regal 800 Watts Handheld Vacuum Cleaner, Lightweight & Durable Body, Small/Mini Size ( Black)","Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|HandheldVacuums","₹1,665","₹2,099",21%,4,"14,368","Vaccum cleaner,Ok,Good product,Quite loud, heats quickly but very good for cleaning upholstery,Compact in size,Only for limited & light duty usage,Value for money, Good bargain,Handy n works well",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41IymCXFA7L._SX300_SY300_QL70_FMwebp_.jpg
B00EDJJ7FS,Philips Viva Collection HD4928/01 2100-Watt Induction Cooktop with Feather Touch Sensor and Crystal Glass Plate (Black),Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|InductionCooktop,"₹3,229","₹5,295",39%,4.2,"39,724","Product as describe,Good product,Good product but price high.,I miss my gas stove.... Induction sucks :(,Great value,No1,तेल गर्म करने में परेशानी,Good",https://m.media-amazon.com/images/I/41Bnylq337S._SX300_SY300_QL70_FMwebp_.jpg
B0832W3B7Q,Pigeon By Stovekraft ABS Plastic Acer Plus Induction Cooktop 1800 Watts With Feather Touch Control - Black,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|InductionCooktop,"₹1,799","₹3,595",50%,3.8,"9,791","It's an okay induction stove on a budget price,Super,Nice product,Pigeon Induction,Easy to clean,Works fine issue with delivery product bit damaged,Average,It is nice product & easy to use best at this price",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41xXipZ7vjL._SX300_SY300_QL70_FMwebp_.jpg
